Марка;Ссылка;Цена в долларах;Цена в гривнах;Город
Renault Sandero 2020Zen 1.5DСi 5МТ (90 л.с.) Stepway;https://auto.ria.com/newauto/auto-renault-sandero-1755597.html;15 919 $;431 216 грн;Черновцы
Renault Kadjar 2020Individual 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1836802.html;27 861 $;754 700 грн;Черкассы
Renault Duster 2020Life 1.6 MT (115 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1834257.html;18 370 $;497 600 грн;Черновцы
Renault Sandero StepWay 2020Life+ 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1838577.html;14 532 $;393 638 грн;Киев
Renault Megane 2020Individual New 1.5D МТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1834083.html;21 127 $;572 300 грн;Житомир
Renault Koleos 2020Intense 2.0D CVT (177 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-koleos-1838971.html;36 067 $;977 005 грн;Черновцы
Renault Duster 2020Individual 1.5 D MT (110 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1779475.html;22 980 $;622 493 грн;Черкассы
Renault Kadjar 2019Intense 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1840484.html;24 919 $;675 000 грн;Харьков
Renault Logan 2019Individual New 0.9 TCe 5MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1832108.html;13 545 $;366 900 грн;Днепр (Днепропетровск)
Renault Sandero StepWay 2020Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1840685.html;15 838 $;429 029 грн;Днепр (Днепропетровск)
Renault Megane 2020Individual New 1.5D AТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1838858.html;24 389 $;660 660 грн;Днепр (Днепропетровск)
Renault Megane 2020Intense New 1.5D AТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1837801.html;24 753 $;670 504 грн;Киев
Renault Kadjar 2020Individual 1.2 TCe 6MT (130 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1834586.html;19 619 $;531 450 грн;Ровно
Renault Kadjar 2020Zen 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1842815.html;25 111 $;680 210 грн;Житомир
Renault Logan 2020Zen New 1.5d MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1836182.html;14 797 $;400 816 грн;Днепр (Днепропетровск)
Renault Sandero StepWay 2020Ultramarine 0.9TCe 5РКП (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1842466.html;15 638 $;423 613 грн;Николаев
Renault Duster 2020Intense 1.5 D MT (110 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1831260.html;23 973 $;649 400 грн;Хмельницкий
Renault Kadjar 2020Intense 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1783022.html;26 236 $;710 680 грн;Черкассы
Renault Kadjar 2020Intense 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1836276.html;26 816 $;726 400 грн;Винница
Renault Sandero StepWay 2020Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1835704.html;13 698 $;371 055 грн;Запорожье
Renault Duster 2020Zen 1.5 D MT (110 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1838850.html;22 775 $;616 940 грн;Ровно
Renault Logan 2020Individual New 1.5DCi 5MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1835596.html;14 512 $;393 100 грн;Ровно
Renault Kadjar 2020Intense 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1838405.html;26 756 $;724 780 грн;Хмельницкий
Renault Sandero StepWay 20201.5DСi 5МТ (90 л.с.) Stepway+;https://auto.ria.com/newauto/auto-renault-sandero-stepway-1841088.html;14 868 $;402 750 грн;Хмельницкий
Renault Koleos 2020Individual 2.0D CVT (177 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-koleos-1838148.html;35 016 $;948 522 грн;Черкассы
Renault Logan 2020Zen New 1.5d MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1836143.html;14 132 $;382 800 грн;Днепр (Днепропетровск)
Renault Duster 2020Intense 1.5 D MT (110 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1839833.html;23 975 $;649 433 грн;Киев
Renault Kadjar 2020Intense 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1837706.html;27 296 $;739 401 грн;Днепр (Днепропетровск)
Renault Koleos 2020Individual 2.0D CVT (177 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-koleos-1838790.html;35 645 $;965 571 грн;Житомир
Renault Sandero StepWay 2020Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1839709.html;15 838 $;429 029 грн;Днепр (Днепропетровск)
Renault Kadjar 2019Zen 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1840285.html;22 888 $;620 000 грн;Днепр (Днепропетровск)
Renault Logan 2020Zen New 1.5d MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1842671.html;14 867 $;402 716 грн;Николаев
Renault Sandero StepWay 2020Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1840184.html;15 413 $;417 500 грн;Тернополь
Renault Megane 2020Zen New 1.5D МТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1830054.html;21 227 $;575 000 грн;Винница
Renault Logan 2020Individual New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1838165.html;12 967 $;351 250 грн;Черкассы
Renault Megane 2017Individual New 1.5D AТ (110 л.с.);https://auto.ria.com/newauto/auto-renault-megane-1821265.html;18 274 $;495 000 грн;Ровно
Renault Kadjar 2020Intense 1.5 DCi EDC6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1840520.html;27 296 $;739 401 грн;Чернигов
Renault Kadjar 2020Zen 1.5 DCi MT6 (110 л.с.);https://auto.ria.com/newauto/auto-renault-kadjar-1835703.html;21 486 $;582 011 грн;Запорожье
Renault Duster 2020Zen 1.5 D MT (110 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1839803.html;23 134 $;626 672 грн;Чернигов
Renault Duster 2020Zen 1.5 D MT (110 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-duster-1820448.html;22 807 $;617 800 грн;Винница
Renault Koleos 2020Life 2.0D CVT (177 л.с.) AWD;https://auto.ria.com/newauto/auto-renault-koleos-1840507.html;31 288 $;847 538 грн;Хмельницкий
Renault Trafic пасс. 2020Combi 1.6D MT (115 л.с.) L2H1;https://auto.ria.com/newauto/auto-renault-trafic-pass-1843000.html;33 188 $;899 000 грн;Хмельницкий
Renault Master груз. 20202.3D MT (150 л.с.) L4H3 4500;https://auto.ria.com/newauto/auto-renault-master-gruz-1835810.html;36 788 $;996 527 грн;Одесса
Renault Master груз. 2020TFG 1 333 D6 2.3D MT (125 л.с.) L3H3 3500;https://auto.ria.com/newauto/auto-renault-master-gruz-1829977.html;31 600 $;856 000 грн;Винница
Renault Duster 2020Zen 1.5 D MT (110 л.с.);https://auto.ria.com/newauto/auto-renault-duster-1836048.html;20 645 $;559 230 грн;Днепр (Днепропетровск)
Renault Dokker груз. 2020Authentique 1.5D MT (90 л.с.);https://auto.ria.com/newauto/auto-renault-dokker-gruz-1766107.html;15 601 $;422 600 грн;Черкассы
Renault Logan 2019Life+ New 1.0 MT (73 л.с.);https://auto.ria.com/newauto/auto-renault-logan-1834878.html;11 075 $;300 000 грн;Ровно
Renault Sandero 2020Life+ 1.0 MT (73 л.с.) ГБО;https://auto.ria.com/newauto/auto-renault-sandero-1838762.html;12 973 $;351 403 грн;Днепр (Днепропетровск)
Renault Lodgy 2020Intense 1.5D МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-lodgy-1837766.html;19 279 $;522 241 грн;Днепр (Днепропетровск)
Renault Sandero StepWay 2020Zen 1.5DСi 5МТ (90 л.с.);https://auto.ria.com/newauto/auto-renault-sandero-stepway-1840169.html;15 413 $;417 500 грн;Тернополь
